game_date,inning,at_bat_number,pitch_number,pitch_type,pitch_name,stand,balls,strikes,release_speed,effective_speed,release_spin_rate,spin_axis,release_extension,release_pos_x,release_pos_z,pfx_x,pfx_z,arm_angle,plate_x,plate_z,sz_top,sz_bot,zone,events,description,type,launch_speed,launch_angle,launch_speed_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_slg_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,hc_x,hc_y,start_group
2026-03-25,4,31,2,SI,Sinker,L,0,1,91.1,92.4,1921.0,243.0,6.7,-1.97,4.93,-1.64,0.45,23.7,-1.4923225311358002,2.8676566469904405,3.138385827,1.583858268,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,31,3,SI,Sinker,L,1,1,90.4,91.3,1856.0,237.0,6.9,-1.69,4.91,-1.39,0.11,22.0,0.3318830951884037,2.993331878892601,3.138385827,1.583858268,3,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,4,31,4,FF,4-Seam Fastball,L,1,2,92.3,93.4,2083.0,229.0,6.7,-1.68,4.94,-0.71,0.87,23.6,0.3528144581893461,3.988951633943679,3.138385827,1.583858268,12,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,31,5,SI,Sinker,L,2,2,91.9,93.0,1925.0,241.0,6.8,-1.74,4.85,-1.47,0.34,20.8,-0.3486146870999782,2.632206837554135,3.138385827,1.583858268,4,,foul,S,83.4,52.0,,231.0,,,,,,,,,,Bad
2026-03-25,4,31,6,FF,4-Seam Fastball,L,2,2,92.0,92.9,2006.0,256.0,6.9,-1.62,4.93,-1.0,1.12,23.8,0.2918178203383137,3.158819270741393,3.138385827,1.583858268,3,field_out,hit_into_play,X,72.1,42.0,3.0,228.0,0.337,0.419,0.329,0.0,1.0,0.0,0.0,120.95,109.03,Bad
2026-03-25,4,32,1,CH,Changeup,R,0,0,84.7,85.9,1471.0,275.0,6.9,-1.82,4.7,-0.87,-0.5,19.5,0.8986148836741107,1.505652462521044,3.522785433,1.777854331,14,,swinging_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,4,32,2,FF,4-Seam Fastball,R,0,1,90.8,91.9,1984.0,242.0,6.9,-1.41,5.05,-0.84,0.89,23.3,0.5847775673592919,3.989111529836978,3.522785433,1.777854331,12,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,32,3,FF,4-Seam Fastball,R,1,1,91.0,92.1,2063.0,237.0,6.9,-1.47,4.97,-0.98,0.94,27.1,0.7714447136774322,3.525537061296892,3.522785433,1.777854331,3,,foul,S,74.8,24.0,,214.0,,,,,,,,,,Bad
2026-03-25,4,32,4,CH,Changeup,R,1,2,85.3,86.6,1432.0,268.0,6.9,-1.77,4.69,-0.95,-0.52,15.7,-0.6832840566376692,1.0023899575819764,3.522785433,1.777854331,13,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,4,32,5,CH,Changeup,R,2,2,85.7,87.0,1484.0,270.0,6.8,-1.92,4.7,-0.85,-0.46,18.6,-0.4036219887277642,1.8417918168002427,3.522785433,1.777854331,7,strikeout,foul_tip,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
2026-03-25,5,37,1,FC,Cutter,L,0,0,89.1,89.4,2239.0,233.0,6.5,-1.87,5.05,-0.38,0.84,22.8,0.1618082253112449,2.490611849902214,3.344627625,1.687942913,5,single,hit_into_play,X,95.9,13.0,4.0,173.0,0.957,1.122,0.907,0.9,1.0,1.0,0.0,179.6,126.59,Bad
2026-03-25,5,38,1,SI,Sinker,L,0,0,91.1,91.6,1974.0,242.0,6.9,-1.72,5.0,-1.61,0.2,22.9,0.1434735824621722,2.71245846948157,3.280561024,1.655610236,5,single,hit_into_play,X,100.6,5.0,4.0,95.0,0.637,0.713,0.593,0.9,1.0,1.0,0.0,154.34,94.93,Bad
2026-03-25,5,39,1,SI,Sinker,R,0,0,90.3,90.6,1903.0,243.0,6.7,-1.78,4.99,-1.8,0.19,24.6,-0.3749019369863366,1.3666456120585289,3.431512467,1.731791339,13,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,5,39,2,SI,Sinker,R,1,0,91.0,91.4,1886.0,246.0,6.7,-1.79,4.98,-1.63,0.04,22.8,-0.1550019787620169,2.1129711801180147,3.431512467,1.731791339,8,single,hit_into_play,X,114.4,11.0,6.0,263.0,0.866,1.268,0.914,0.9,1.0,1.0,0.0,133.28,69.55,Bad
2026-03-25,5,40,1,ST,Sweeper,L,0,0,82.5,83.4,2344.0,35.0,6.5,-2.11,4.78,0.37,0.27,21.0,-1.8986293889644816,2.790622384644117,3.15593832,1.592716535,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,5,40,2,SI,Sinker,L,1,0,90.2,90.5,1909.0,238.0,6.6,-1.72,4.91,-1.61,0.37,23.8,-0.5634608793932432,4.11337357757775,3.15593832,1.592716535,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,5,40,3,CH,Changeup,L,2,0,85.3,86.4,1659.0,270.0,6.8,-1.88,4.74,-1.09,-0.49,17.9,-0.2041005271640878,1.7043487438233278,3.15593832,1.592716535,8,force_out,hit_into_play,X,88.6,-12.0,2.0,8.0,0.146,0.173,0.137,0.0,1.0,0.0,0.0,153.33,166.38,Bad
2026-03-25,5,41,1,SI,Sinker,R,0,0,90.0,90.3,1826.0,237.0,6.7,-1.6,5.05,-1.44,0.07,22.1,-0.1591156307163224,2.5120537853726845,3.083095472,1.555954724,5,,foul,S,74.3,58.0,,182.0,,,,,,,,,,Bad
2026-03-25,5,41,2,SI,Sinker,R,0,1,90.1,91.0,1786.0,247.0,6.6,-1.82,4.89,-1.08,0.26,24.4,-1.205608524335308,2.893422153114849,3.083095472,1.555954724,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,5,41,3,SI,Sinker,R,1,1,90.6,91.8,2588.0,320.0,6.8,-1.84,4.95,-1.34,0.14,25.1,-1.0761874002974314,2.8900623757753503,3.083095472,1.555954724,11,field_out,hit_into_play,X,58.2,43.0,1.0,156.0,0.16,0.176,0.144,0.0,1.0,0.0,0.0,152.49,144.34,Bad
2026-03-25,5,42,1,ST,Sweeper,L,0,0,81.7,82.1,2488.0,79.0,6.6,-2.13,4.8,1.07,0.26,21.6,-1.006538052017101,2.7269274037268625,3.31742126,1.674212598,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,5,42,2,SI,Sinker,L,1,0,90.2,90.6,1855.0,233.0,6.6,-1.79,4.95,-1.29,0.11,24.4,0.5312415954798952,2.745381860919395,3.31742126,1.674212598,6,,foul,S,69.2,60.0,,153.0,,,,,,,,,,Bad
2026-03-25,5,42,3,FC,Cutter,L,1,1,89.4,90.4,2192.0,230.0,6.7,-1.78,5.05,-0.12,0.74,25.0,-0.0075318705499452,4.221145717718667,3.31742126,1.674212598,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,5,42,4,SI,Sinker,L,2,1,90.2,90.7,1946.0,235.0,6.7,-1.66,4.95,-1.6,0.3,24.9,-0.0547567478480768,3.3683168326121784,3.31742126,1.674212598,2,,swinging_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,5,42,5,CH,Changeup,L,2,2,85.4,86.6,1521.0,274.0,6.9,-1.82,4.78,-0.91,-0.45,17.5,-0.1667360227261292,1.0408606571363088,3.31742126,1.674212598,13,strikeout,swinging_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
2026-04-11,1,4,1,SI,Sinker,L,0,0,92.9,93.1,1922.0,242.0,6.7,-2.03,5.17,-1.6,0.19,24.5,-0.9842419161563696,2.549711310103513,3.328830381,1.679970472,11,,called_strike,S,,,,,,,,,,,,,,Bad
2026-04-11,1,4,2,SI,Sinker,L,0,1,93.7,93.9,1976.0,240.0,6.7,-2.03,5.07,-1.52,0.12,26.5,-0.8881987895019976,1.8062302027503343,3.328830381,1.679970472,13,field_out,hit_into_play,X,96.6,3.0,4.0,84.0,0.523,0.584,0.489,0.0,1.0,0.0,0.0,121.3,137.37,Bad
2026-04-11,1,5,1,SI,Sinker,R,0,0,93.8,94.0,2010.0,246.0,6.8,-1.91,5.1,-1.49,0.13,26.8,0.9095265968058814,2.6294178296878763,3.190165682,1.609990158,12,,called_strike,S,,,,,,,,,,,,,,Bad
2026-04-11,1,5,2,ST,Sweeper,R,0,1,86.7,86.5,2693.0,53.0,6.6,-1.94,4.93,1.42,-0.04,24.0,2.5787581984801786,0.2530033340773516,3.190165682,1.609990158,14,,ball,B,,,,,,,,,,,,,,Bad
2026-04-11,1,5,3,ST,Sweeper,R,1,1,84.8,85.0,2456.0,59.0,6.6,-2.14,4.87,1.44,0.17,22.6,1.079519744798355,2.681846760227574,3.190165682,1.609990158,12,,foul,S,64.7,50.0,,173.0,,,,,,,,,,Bad
2026-04-11,1,5,4,SI,Sinker,R,1,2,93.7,93.8,2047.0,217.0,6.8,-1.81,5.01,-1.56,-0.24,21.8,0.6936004087008938,2.618718303149311,3.190165682,1.609990158,6,strikeout,called_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
2026-04-11,1,6,1,SI,Sinker,R,0,0,93.8,94.1,1911.0,231.0,6.8,-1.78,5.11,-1.52,-0.11,28.1,0.798602055275409,3.4675392829389566,3.323564633,1.677312992,12,,ball,B,,,,,,,,,,,,,,Bad
2026-04-11,1,6,2,SI,Sinker,R,1,0,93.9,94.5,1867.0,206.0,6.8,-1.91,4.99,-1.6,0.14,25.1,0.8148157500046418,2.224574265943113,3.323564633,1.677312992,6,,called_strike,S,,,,,,,,,,,,,,Bad
